# Expected AC response of the TIA (transimpedance gain and phase)
# Frequency (Hz), Gain (dB-ohm), Phase (degrees)
# Generated from nominal simulation with tt models at 25C, 1.8V
1.000000e+00,  99.8,   -0.1
1.000000e+01,  99.8,   -0.6
1.000000e+02,  99.8,   -5.7
1.000000e+03,  99.7,  -11.3
1.000000e+04,  99.0,  -32.1
1.000000e+05,  93.5,  -56.8
1.000000e+06,  79.2,  -72.4
5.000000e+06,  65.1,  -81.2
1.000000e+07,  58.8,  -84.3
5.000000e+07,  44.6,  -88.1
1.000000e+08,  38.2,  -89.5
5.000000e+08,  24.1,  -91.2
1.000000e+09,  17.8,  -92.8
