# Expected transient response of the TIA
# Time (s), Vout (V), Vinn (V)
# Step response to 1uA input current at t=0
# Generated from nominal simulation with tt models at 25C, 1.8V
0.000000e+00,  0.900,  0.900
1.000000e-07,  0.900,  0.900
2.000000e-07,  0.920,  0.900
5.000000e-07,  0.975,  0.901
1.000000e-06,  0.998,  0.901
2.000000e-06,  1.000,  0.901
3.000000e-06,  1.000,  0.901
4.000000e-06,  1.000,  0.901
5.000000e-06,  1.000,  0.901
6.000000e-06,  1.000,  0.901
7.000000e-06,  1.000,  0.901
8.000000e-06,  1.000,  0.901
9.000000e-06,  1.000,  0.901
1.000000e-05,  1.000,  0.901
